Sr.No,Class Name,Line Coverage,Branch Coverage,Branch Missed,Branch Missed+Covered,BranchCoveragePercentageDecimal,BranchCoveragePercentage
91,PluginCreateRule,121,49,25,74.0,0.6621622,66.21622
92,ObjectCreateRule,22,10,2,12.0,0.8333333,83.33333
93,CallMethodRule,22,10,2,12.0,0.8333333,83.33333
94,ObjectParamRule,13,2,2,4.0,0.5,50.0
95,SetRootRule,2,0,4,4.0,0.0,0.0
96,AbstractXmlMethodRule,8,0,0,0.0,0,0.0
97,PatternStack,9,6,0,6.0,1.0,100.0
98,WithMemoryRulesBinder,8,0,0,0.0,0,0.0
99,CallParamRule,14,6,2,8.0,0.75,75.0
100,PatternRule,14,4,0,4.0,1.0,100.0
101,SetNestedPropertiesRule,2,0,0,0.0,0,0.0
102,NodeCreateRule,2,0,8,8.0,0.0,0.0
103,BeanPropertySetterRule,8,2,0,2.0,1.0,100.0
104,NameSpaceURIRulesBinder,12,0,0,0.0,0,0.0
105,SetPropertiesRule,8,0,0,0.0,0,0.0
106,SetPropertyRule,2,0,0,0.0,0,0.0
107,PrefixedRulesBinder,7,2,2,4.0,0.5,50.0
108,SetNextRule,8,3,1,4.0,0.75,75.0
109,IncludeRule,30,12,6,18.0,0.6666667,66.66667
110,FactoryCreateRule,7,0,0,0.0,0,0.0
111,FromXmlRulesModule,41,9,11,20.0,0.45,45.0
112,SetNamespaceURIRule,7,0,0,0.0,0,0.0
113,XmlRulesModule,40,5,1,6.0,0.8333333,83.33333
114,AbstractXmlRule,6,0,0,0.0,0,0.0
115,SetTopRule,2,0,4,4.0,0.0,0.0
