org.apache.commons.configuration2.CompositeConfiguration::getPropertyInternal(String);firstMatchingConfiguration;B1;0/5

org.apache.commons.configuration2.tree.ReferenceTracker::updateReferences(Map<ImmutableNode, ImmutableNode>,Collection<ImmutableNode>);newRemovedRefs;B13;0/2

org.apache.commons.configuration2.builder.combined.CombinedConfigurationBuilder.ConfigurationSourceData::createAndAddConfigurations(CombinedConfiguration,List<ConfigurationDeclaration>,List<ConfigurationBuilder<? extends Configuration>>);b;B5;1/4

org.apache.commons.configuration2.tree.InMemoryNodeModel::createNodeOnPath(Iterator<String>,Collection<ImmutableNode>);builder;B1;1/4

org.apache.commons.configuration2.tree.DefaultConfigurationKey.KeyIterator::nextKeyPart();delIdx;B3;0/3

org.apache.commons.configuration2.TestCompositeConfiguration::testCheckingInMemoryConfiguration();foundTestKey;B2;1/4
org.apache.commons.configuration2.TestCompositeConfiguration::testCheckingInMemoryConfiguration();foundTestKey;B3;0/3

org.apache.commons.configuration2.TestNullCompositeConfiguration::testCheckingInMemoryConfiguration();foundTestKey;B2;1/4
org.apache.commons.configuration2.TestNullCompositeConfiguration::testCheckingInMemoryConfiguration();foundTestKey;B3;0/3

org.apache.commons.configuration2.tree.TreeUtils::printTree(PrintStream,String,ImmutableNode);newline;B6;1/3

org.apache.commons.configuration2.XMLConfiguration::constructHierarchy(Builder,MutableObject<String>,Element,Map<ImmutableNode, Object>,boolean,int);childrenFlag;B10;0/3
org.apache.commons.configuration2.XMLConfiguration::constructHierarchy(Builder,MutableObject<String>,Element,Map<ImmutableNode, Object>,boolean,int);childrenFlag;B2;4/8

org.apache.commons.configuration2.AbstractHierarchicalConfiguration::resolveUpdateKey(T,String,Object,NodeHandler<T>);removedItems;B8;1/2

org.apache.commons.configuration2.AbstractHierarchicalConfiguration::resolveUpdateKey(T,String,Object,NodeHandler<T>);additionalValues;B4;1/2

org.apache.commons.configuration2.TestHierarchicalConfiguration::testSubset();expectedFieldCount;B4;2/4
org.apache.commons.configuration2.TestHierarchicalConfiguration::testSubset();expectedFieldCount;B5;2/3

org.apache.commons.configuration2.tree.ImmutableNode::removeChild(ImmutableNode);foundChild;B1;2/4
org.apache.commons.configuration2.tree.ImmutableNode::removeChild(ImmutableNode);foundChild;B3;1/2
org.apache.commons.configuration2.tree.ImmutableNode::removeChild(ImmutableNode);foundChild;B2;2/3

org.apache.commons.configuration2.tree.ImmutableNode::replaceChild(ImmutableNode,ImmutableNode);foundChild;B3;1/2
org.apache.commons.configuration2.tree.ImmutableNode::replaceChild(ImmutableNode,ImmutableNode);foundChild;B1;2/4
org.apache.commons.configuration2.tree.ImmutableNode::replaceChild(ImmutableNode,ImmutableNode);foundChild;B2;2/3

org.apache.commons.configuration2.TestDynamicCombinedConfiguration::testConcurrentGetAndReload2();totalFailures;B5;2/3
org.apache.commons.configuration2.TestDynamicCombinedConfiguration::testConcurrentGetAndReload2();totalFailures;B4;2/4

