GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Math,org.apache.commons.math3.util,OpenIntToFieldHashMap.Iterator,17,96,4,12,5,23,4,9,0,5
Commons Math,org.apache.commons.math3.util,FastMathLiteralArrays,0,33548,0,0,0,10,0,6,0,6
Commons Math,org.apache.commons.math3.util,Incrementor.new Incrementor.MaxCountExceededCallback() {...},0,9,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.util,MultidimensionalCounter,30,229,2,22,4,45,2,18,1,7
Commons Math,org.apache.commons.math3.util,ResizableDoubleArray.ExpansionMode,0,24,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math3.util,ContinuedFraction,56,103,7,9,11,31,9,4,2,3
Commons Math,org.apache.commons.math3.util,Incrementor,9,69,1,7,2,22,1,13,0,10
Commons Math,org.apache.commons.math3.util,MathArrays.OrderDirection,0,24,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math3.util,ArithmeticUtils,26,1640,8,244,4,324,8,147,0,29
Commons Math,org.apache.commons.math3.util,FastMath.ExpFracTable,0,5,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math3.util,IterationManager,25,96,0,8,7,27,3,13,3,9
Commons Math,org.apache.commons.math3.util,BigRealField,2,8,0,0,1,4,1,4,1,4
Commons Math,org.apache.commons.math3.util,OpenIntToFieldHashMap,12,694,0,68,5,155,2,57,2,23
Commons Math,org.apache.commons.math3.util,TransformerMap,36,134,8,12,10,31,8,14,1,11
Commons Math,org.apache.commons.math3.util,Pair,13,88,5,15,3,19,6,12,1,7
Commons Math,org.apache.commons.math3.util,BigRealField.LazyHolder,0,6,0,0,0,1,0,1,0,1
Commons Math,org.apache.commons.math3.exception.util,DummyLocalizable,15,0,0,0,6,0,4,0,4,0
Commons Math,org.apache.commons.math3.exception.util,ArgUtils,0,55,1,7,0,8,1,4,0,1
Commons Math,org.apache.commons.math3.exception.util,LocalizedFormats,1,3491,1,1,1,325,1,4,0,4
Commons Math,org.apache.commons.math3.exception.util,ExceptionContext,3,344,0,20,1,79,1,27,1,17
Commons Math,org.apache.commons.math3.analysis.integration.gauss,LegendreHighPrecisionRuleFactory,0,514,0,24,0,98,0,15,0,3
Commons Math,org.apache.commons.math3.analysis.integration.gauss,BaseRuleFactory,19,136,2,8,4,28,2,8,0,5
Commons Math,org.apache.commons.math3.analysis.integration.gauss,GaussIntegratorFactory,0,104,0,2,0,16,0,8,0,7
Commons Math,org.apache.commons.math3.analysis.integration.gauss,LegendreRuleFactory,0,321,0,24,0,61,0,14,0,2
Commons Math,org.apache.commons.math3.analysis.integration.gauss,GaussIntegrator,8,82,1,3,1,19,1,5,0,4
Commons Math,org.apache.commons.math3.ml.clustering,MultiKMeansPlusPlusClusterer,6,85,2,8,2,22,4,5,2,2
Commons Math,org.apache.commons.math3.ml.clustering,KMeansPlusPlusClusterer.EmptyClusterStrategy,0,44,0,0,0,5,0,1,0,1
Commons Math,org.apache.commons.math3.ml.clustering,DoublePoint,6,47,1,3,2,12,2,6,1,5
Commons Math,org.apache.commons.math3.ml.clustering,CentroidCluster,0,9,0,0,0,4,0,2,0,2
Commons Math,org.apache.commons.math3.ml.clustering,DBSCANClusterer.PointStatus,0,24,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math3.ml.clustering,Clusterer,0,17,0,0,0,5,0,3,0,3
Commons Math,org.apache.commons.math3.ml.clustering,DBSCANClusterer,0,219,0,28,0,55,0,22,0,8
Commons Math,org.apache.commons.math3.ml.clustering,Cluster,0,17,0,0,0,6,0,3,0,3
Commons Math,org.apache.commons.math3.ml.clustering,KMeansPlusPlusClusterer,252,454,38,50,65,104,31,31,8,9
Commons Math,org.apache.commons.math3.stat.descriptive.moment,Kurtosis,6,245,3,13,3,49,4,14,1,9
Commons Math,org.apache.commons.math3.stat.descriptive.moment,FourthMoment,6,107,0,2,3,26,1,7,1,6
Commons Math,org.apache.commons.math3.stat.descriptive.moment,StandardDeviation,41,96,0,0,9,28,5,12,5,12
Commons Math,org.apache.commons.math3.stat.descriptive.moment,VectorialCovariance,60,214,9,19,13,39,9,12,1,6
Commons Math,org.apache.commons.math3.stat.descriptive.moment,ThirdMoment,0,109,0,2,0,29,0,8,0,7
Commons Math,org.apache.commons.math3.stat.descriptive.moment,SemiVariance.Direction,0,37,0,0,0,7,0,3,0,3
Commons Math,org.apache.commons.math3.stat.descriptive.moment,FirstMoment,6,106,0,2,3,32,1,8,1,7
Commons Math,org.apache.commons.math3.stat.descriptive.moment,SecondMoment,8,67,0,2,3,20,1,7,1,6
Commons Math,org.apache.commons.math3.stat.descriptive.moment,GeometricMean,22,91,1,3,6,29,3,12,2,11
Commons Math,org.apache.commons.math3.stat.descriptive.moment,VectorialMean,22,103,4,12,7,20,5,9,1,5
Commons Math,org.apache.commons.math3.stat.descriptive.moment,Mean,8,181,3,9,4,43,4,14,1,11
Commons Math,org.apache.commons.math3.stat.descriptive.moment,SemiVariance,91,142,0,12,23,32,9,14,9,8
Commons Math,org.apache.commons.math3.stat.descriptive.moment,Skewness,9,237,2,14,3,52,3,15,1,9
Commons Math,org.apache.commons.math3.stat.descriptive.moment,Variance,53,435,14,32,10,101,17,27,3,18
Commons Math,org.apache.commons.math3.analysis.function,Atan,7,6,0,0,2,2,2,2,2,2
Commons Math,org.apache.commons.math3.analysis.function,Atanh,13,0,0,0,4,0,4,0,4,0
Commons Math,org.apache.commons.math3.analysis.function,Cosh,4,9,0,0,1,3,1,3,1,3
Commons Math,org.apache.commons.math3.analysis.function,Atan2,7,0,0,0,2,0,2,0,2,0
Commons Math,org.apache.commons.math3.analysis.function,Divide,0,7,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.function,Tan,7,6,0,0,2,2,2,2,2,2
Commons Math,org.apache.commons.math3.analysis.function,Floor,0,6,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.function,Expm1,7,6,0,0,2,2,2,2,2,2
Commons Math,org.apache.commons.math3.analysis.function,Logit.Parametric,30,33,0,4,4,8,1,5,1,3
Commons Math,org.apache.commons.math3.analysis.function,Abs,0,6,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.function,Constant,5,19,0,0,1,5,1,3,1,3
Commons Math,org.apache.commons.math3.analysis.function,Ceil,0,6,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.function,Add,0,7,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.function,Logit,9,168,0,16,3,27,2,12,2,4
Commons Math,org.apache.commons.math3.analysis.function,Logistic,4,94,0,2,1,13,1,5,1,4
Commons Math,org.apache.commons.math3.analysis.function,Acos,7,6,0,0,2,2,2,2,2,2
Commons Math,org.apache.commons.math3.analysis.function,Sigmoid.Parametric,0,57,0,4,0,11,0,6,0,4
Commons Math,org.apache.commons.math3.analysis.function,Max,0,7,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.function,Rint,0,6,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.function,Asinh,13,0,0,0,4,0,4,0,4,0
Commons Math,org.apache.commons.math3.analysis.function,HarmonicOscillator,4,98,0,4,1,17,1,6,1,4
Commons Math,org.apache.commons.math3.analysis.function,Acosh,13,0,0,0,4,0,4,0,4,0
Commons Math,org.apache.commons.math3.analysis.function,Gaussian,4,207,0,14,1,37,1,13,1,6
Commons Math,org.apache.commons.math3.analysis.function,StepFunction,0,78,0,14,0,19,0,9,0,2
Commons Math,org.apache.commons.math3.analysis.function,Min,0,7,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.function,Sigmoid,4,161,0,8,1,28,1,9,1,5
Commons Math,org.apache.commons.math3.analysis.function,HarmonicOscillator.Parametric,0,88,0,4,0,17,0,6,0,4
Commons Math,org.apache.commons.math3.analysis.function,Power,4,16,0,0,1,5,1,3,1,3
Commons Math,org.apache.commons.math3.analysis.function,Identity,5,7,0,0,1,3,1,3,1,3
Commons Math,org.apache.commons.math3.analysis.function,Signum,0,6,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.function,Multiply,0,7,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.function,Minus,5,9,0,0,1,3,1,3,1,3
Commons Math,org.apache.commons.math3.analysis.function,Sin,0,13,0,0,0,4,0,4,0,4
Commons Math,org.apache.commons.math3.analysis.function,Log10,7,6,0,0,2,2,2,2,2,2
Commons Math,org.apache.commons.math3.analysis.function,Asin,7,6,0,0,2,2,2,2,2,2
Commons Math,org.apache.commons.math3.analysis.function,Logistic.Parametric,27,156,0,6,2,25,1,6,1,3
Commons Math,org.apache.commons.math3.analysis.function,Sqrt,4,9,0,0,1,3,1,3,1,3
Commons Math,org.apache.commons.math3.analysis.function,Ulp,0,6,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.function,Tanh,7,6,0,0,2,2,2,2,2,2
Commons Math,org.apache.commons.math3.analysis.function,Log1p,7,6,0,0,2,2,2,2,2,2
Commons Math,org.apache.commons.math3.analysis.function,Subtract,7,0,0,0,2,0,2,0,2,0
Commons Math,org.apache.commons.math3.analysis.function,Exp,7,6,0,0,2,2,2,2,2,2
Commons Math,org.apache.commons.math3.analysis.function,Gaussian.Parametric,0,124,0,6,0,21,0,7,0,4
