GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Math,org.apache.commons.math3.optim.linear,LinearOptimizer,0,64,0,8,0,18,0,10,0,6
Commons Math,org.apache.commons.math3.optim.linear,LinearConstraintSet,29,17,2,0,4,5,2,2,1,2
Commons Math,org.apache.commons.math3.optim.linear,NoFeasibleSolutionException,0,6,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math3.optim.linear,SimplexTableau,64,1008,12,116,14,178,16,81,4,29
Commons Math,org.apache.commons.math3.ode.nonstiff,AdamsMoultonIntegrator,29,382,2,30,4,76,2,17,0,3
Commons Math,org.apache.commons.math3.ode.nonstiff,AdamsMoultonIntegrator.Corrector,13,132,2,6,0,23,2,6,0,4
Commons Math,org.apache.commons.math3.ode.nonstiff,RungeKuttaStepInterpolator,17,221,7,23,2,49,7,14,0,6
Commons Math,org.apache.commons.math3.ode.nonstiff,ClassicalRungeKuttaIntegrator,0,88,0,0,0,5,0,2,0,2
Commons Math,org.apache.commons.math3.ode.nonstiff,HighamHall54Integrator,0,331,0,6,0,21,0,8,0,5
Commons Math,org.apache.commons.math3.ode.nonstiff,DormandPrince853StepInterpolator,21,1574,5,43,4,116,5,29,0,10
Commons Math,org.apache.commons.math3.ode.nonstiff,AdamsNordsieckTransformer,4,405,0,20,1,68,1,17,1,7
Commons Math,org.apache.commons.math3.ode.nonstiff,ClassicalRungeKuttaStepInterpolator,0,269,1,7,0,35,1,7,0,4
Commons Math,org.apache.commons.math3.ode.nonstiff,RungeKuttaIntegrator,0,347,0,28,0,56,0,16,0,2
Commons Math,org.apache.commons.math3.ode.nonstiff,ThreeEighthesStepInterpolator,0,308,1,7,0,38,1,7,0,4
Commons Math,org.apache.commons.math3.ode.nonstiff,ThreeEighthesIntegrator,0,88,0,0,0,5,0,2,0,2
Commons Math,org.apache.commons.math3.ode.nonstiff,AdaptiveStepsizeIntegrator,14,398,6,40,2,84,5,30,0,12
Commons Math,org.apache.commons.math3.ode.nonstiff,EmbeddedRungeKuttaIntegrator,0,626,0,54,0,112,0,36,0,9
Commons Math,org.apache.commons.math3.ode.nonstiff,EulerIntegrator,0,25,0,0,0,5,0,2,0,2
Commons Math,org.apache.commons.math3.ode.nonstiff,GillIntegrator,0,117,0,0,0,8,0,2,0,2
Commons Math,org.apache.commons.math3.ode.nonstiff,DormandPrince853Integrator,0,895,0,6,0,45,0,8,0,5
Commons Math,org.apache.commons.math3.ode.nonstiff,GraggBulirschStoerStepInterpolator,58,839,15,43,9,127,14,25,0,10
Commons Math,org.apache.commons.math3.ode.nonstiff,HighamHall54StepInterpolator,0,449,1,7,0,41,1,7,0,4
Commons Math,org.apache.commons.math3.ode.nonstiff,MidpointIntegrator,0,42,0,0,0,5,0,2,0,2
Commons Math,org.apache.commons.math3.ode.nonstiff,DormandPrince54Integrator,0,318,0,4,0,18,0,7,0,5
Commons Math,org.apache.commons.math3.ode.nonstiff,AdamsIntegrator,0,48,0,0,0,10,0,5,0,5
Commons Math,org.apache.commons.math3.ode.nonstiff,GraggBulirschStoerIntegrator,25,1985,22,212,7,307,22,109,0,13
Commons Math,org.apache.commons.math3.ode.nonstiff,MidpointStepInterpolator,0,150,1,7,0,24,1,7,0,4
Commons Math,org.apache.commons.math3.ode.nonstiff,AdamsBashforthIntegrator,40,377,3,31,4,76,3,17,0,3
Commons Math,org.apache.commons.math3.ode.nonstiff,DormandPrince54StepInterpolator,0,454,1,15,0,62,1,13,0,6
Commons Math,org.apache.commons.math3.ode.nonstiff,EulerStepInterpolator,0,100,1,7,0,13,1,7,0,4
Commons Math,org.apache.commons.math3.ode.nonstiff,GillStepInterpolator,0,307,1,7,0,43,1,8,0,5
Commons Math,org.apache.commons.math3.linear,RealLinearOperator,6,3,0,0,2,1,2,1,2,1
Commons Math,org.apache.commons.math3.linear,FieldLUDecomposition.Solver,11,523,2,52,2,80,2,31,0,6
Commons Math,org.apache.commons.math3.linear,DefaultIterativeLinearSolverEvent,11,49,3,1,2,17,3,6,1,6
Commons Math,org.apache.commons.math3.linear,BlockRealMatrix,194,4078,14,264,38,690,11,182,1,53
Commons Math,org.apache.commons.math3.linear,SymmLQ,56,198,2,8,13,48,7,10,5,7
Commons Math,org.apache.commons.math3.linear,LUDecomposition.Solver,0,335,0,38,0,55,0,24,0,5
Commons Math,org.apache.commons.math3.linear,RRQRDecomposition,1,210,2,18,1,47,2,15,0,7
Commons Math,org.apache.commons.math3.linear,RRQRDecomposition.Solver,7,29,0,0,1,7,1,4,1,4
Commons Math,org.apache.commons.math3.linear,DefaultFieldMatrixPreservingVisitor,1,10,0,0,1,5,1,3,1,3
Commons Math,org.apache.commons.math3.linear,RectangularCholeskyDecomposition,26,300,2,26,2,54,2,16,0,4
Commons Math,org.apache.commons.math3.linear,LUDecomposition,0,440,0,54,0,85,0,35,0,8
Commons Math,org.apache.commons.math3.linear,SymmLQ.State,34,960,9,51,7,171,9,35,0,14
Commons Math,org.apache.commons.math3.linear,Array2DRowRealMatrix,30,1007,7,89,5,188,7,72,0,31
Commons Math,org.apache.commons.math3.linear,SingularValueDecomposition.new DefaultRealMatrixPreservingVisitor() {...},0,23,0,0,0,3,0,2,0,2
Commons Math,org.apache.commons.math3.linear,EigenDecomposition.Solver,8,300,3,33,2,55,3,20,0,5
Commons Math,org.apache.commons.math3.linear,SparseRealVector,0,3,0,0,0,1,0,1,0,1
Commons Math,org.apache.commons.math3.linear,SparseFieldVector,314,732,36,58,71,173,37,54,11,33
Commons Math,org.apache.commons.math3.linear,NonSymmetricMatrixException,9,30,0,0,3,5,3,1,3,1
Commons Math,org.apache.commons.math3.linear,NonSquareOperatorException,0,6,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math3.linear,CholeskyDecomposition.Solver,2,291,0,28,1,47,1,18,1,4
Commons Math,org.apache.commons.math3.linear,OpenMapRealVector.OpenMapEntry,10,18,0,0,2,5,1,3,1,3
Commons Math,org.apache.commons.math3.linear,MatrixUtils.BigFractionMatrixConverter,0,26,0,0,0,7,0,4,0,4
Commons Math,org.apache.commons.math3.linear,RealVector.Entry,0,29,0,0,0,9,0,5,0,5
Commons Math,org.apache.commons.math3.linear,BiDiagonalTransformer,13,987,7,103,3,155,10,55,3,7
Commons Math,org.apache.commons.math3.linear,DefaultRealMatrixChangingVisitor,2,6,0,0,1,3,1,3,1,3
Commons Math,org.apache.commons.math3.linear,DiagonalMatrix,0,334,0,28,0,70,0,34,0,20
Commons Math,org.apache.commons.math3.linear,SingularValueDecomposition,145,1861,19,165,20,258,18,88,1,12
Commons Math,org.apache.commons.math3.linear,DefaultFieldMatrixChangingVisitor,2,10,0,0,1,5,1,3,1,3
Commons Math,org.apache.commons.math3.linear,AbstractFieldMatrix.new DefaultFieldMatrixPreservingVisitor() {...},0,17,0,0,0,3,0,2,0,2
Commons Math,org.apache.commons.math3.linear,AbstractFieldMatrix.new DefaultFieldMatrixPreservingVisitor() {...},0,31,0,0,0,6,0,3,0,3
Commons Math,org.apache.commons.math3.linear,AbstractFieldMatrix.new DefaultFieldMatrixChangingVisitor() {...},0,25,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.linear,IllConditionedOperatorException,11,0,0,0,2,0,1,0,1,0
Commons Math,org.apache.commons.math3.linear,SingularMatrixException,0,6,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math3.linear,CholeskyDecomposition,0,229,0,22,0,45,0,17,0,6
Commons Math,org.apache.commons.math3.linear,SparseFieldMatrix,142,114,8,2,29,24,8,10,4,9
Commons Math,org.apache.commons.math3.linear,AbstractRealMatrix.new DefaultRealMatrixPreservingVisitor() {...},0,16,0,0,0,3,0,2,0,2
Commons Math,org.apache.commons.math3.linear,AbstractRealMatrix.new DefaultRealMatrixPreservingVisitor() {...},0,30,0,0,0,6,0,3,0,3
Commons Math,org.apache.commons.math3.linear,SingularValueDecomposition.Solver,3,73,0,6,1,15,1,7,1,4
Commons Math,org.apache.commons.math3.linear,AbstractRealMatrix.new DefaultRealMatrixChangingVisitor() {...},0,24,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.linear,AbstractRealMatrix.new RealMatrixPreservingVisitor() {...},0,23,0,0,0,6,0,4,0,4
Commons Math,org.apache.commons.math3.linear,AbstractRealMatrix.new RealMatrixPreservingVisitor() {...},0,44,0,2,0,11,0,5,0,4
Commons Math,org.apache.commons.math3.linear,EigenDecomposition,171,1977,25,149,26,283,24,84,4,17
Commons Math,org.apache.commons.math3.linear,BlockFieldMatrix,507,3789,34,230,97,634,22,162,2,50
Commons Math,org.apache.commons.math3.linear,OpenMapRealVector,129,1067,15,119,31,270,16,99,5,43
Commons Math,org.apache.commons.math3.linear,QRDecomposition.Solver,0,504,0,44,0,84,0,27,0,5
Commons Math,org.apache.commons.math3.linear,OpenMapRealMatrix,76,375,4,20,18,82,4,24,2,14
Commons Math,org.apache.commons.math3.linear,Array2DRowFieldMatrix,117,993,9,83,23,176,13,67,5,29
Commons Math,org.apache.commons.math3.linear,HessenbergTransformer,3,505,3,51,1,76,4,29,1,5
Commons Math,org.apache.commons.math3.linear,RealVector.2.new Iterator() {...},4,31,0,0,1,5,1,3,1,3
Commons Math,org.apache.commons.math3.linear,RealVector.2.new Iterator() {...},4,31,0,0,1,5,1,3,1,3
Commons Math,org.apache.commons.math3.linear,RealVectorFormat,18,227,0,22,7,58,5,21,5,10
Commons Math,org.apache.commons.math3.linear,NonPositiveDefiniteMatrixException,9,37,0,0,3,7,3,1,3,1
Commons Math,org.apache.commons.math3.linear,JacobiPreconditioner,7,106,1,7,1,23,1,9,0,6
Commons Math,org.apache.commons.math3.linear,NonSquareMatrixException,0,6,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math3.linear,JacobiPreconditioner.new RealLinearOperator() {...},8,20,0,0,2,3,2,2,2,2
Commons Math,org.apache.commons.math3.linear,DefaultRealMatrixPreservingVisitor,1,6,0,0,1,3,1,3,1,3
Commons Math,org.apache.commons.math3.linear,NonPositiveDefiniteOperatorException,0,6,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math3.linear,AbstractFieldMatrix,323,1941,39,203,54,375,34,149,6,56
Commons Math,org.apache.commons.math3.linear,PreconditionedIterativeLinearSolver,14,87,0,6,4,21,2,9,2,6
Commons Math,org.apache.commons.math3.linear,SchurTransformer,9,1425,7,85,2,190,7,49,0,10
Commons Math,org.apache.commons.math3.linear,AbstractRealMatrix,219,1745,22,176,36,337,20,133,5,49
Commons Math,org.apache.commons.math3.linear,MatrixDimensionMismatchException,0,44,0,0,0,8,0,5,0,5
Commons Math,org.apache.commons.math3.linear,RealVector.2.UnmodifiableEntry,0,18,0,0,0,3,0,3,0,3
Commons Math,org.apache.commons.math3.linear,RealMatrixFormat,29,372,3,41,11,95,10,30,7,11
Commons Math,org.apache.commons.math3.linear,OpenMapRealVector.OpenMapSparseIterator,5,29,0,0,1,7,1,3,1,3
Commons Math,org.apache.commons.math3.linear,NonSelfAdjointOperatorException,0,6,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math3.linear,RealVector,8,876,0,82,2,210,2,90,2,49
Commons Math,org.apache.commons.math3.linear,SingularOperatorException,6,0,0,0,2,0,1,0,1,0
Commons Math,org.apache.commons.math3.linear,IterativeLinearSolverEvent,6,5,0,0,2,2,2,1,2,1
Commons Math,org.apache.commons.math3.linear,MatrixUtils,215,1033,39,107,49,215,33,75,2,33
Commons Math,org.apache.commons.math3.linear,QRDecomposition,0,455,0,42,0,77,0,30,0,9
Commons Math,org.apache.commons.math3.linear,RealVector.new Iterator() {...},0,54,0,4,0,9,0,6,0,4
Commons Math,org.apache.commons.math3.linear,ArrayFieldVector,373,1386,18,78,71,252,20,92,6,58
Commons Math,org.apache.commons.math3.linear,RealVector.new RealVector() {...},10,199,0,0,2,43,2,41,2,41
Commons Math,org.apache.commons.math3.linear,FieldLUDecomposition,12,474,2,52,0,82,2,32,0,7
Commons Math,org.apache.commons.math3.linear,ConjugateGradient,18,227,3,15,7,61,5,8,2,2
Commons Math,org.apache.commons.math3.linear,TriDiagonalTransformer,3,568,0,46,1,88,1,30,1,7
Commons Math,org.apache.commons.math3.linear,RealVector.SparseEntryIterator,9,84,2,12,3,19,3,9,1,4
Commons Math,org.apache.commons.math3.linear,MatrixUtils.FractionMatrixConverter,0,26,0,0,0,7,0,4,0,4
Commons Math,org.apache.commons.math3.linear,IterativeLinearSolver,34,58,0,6,10,17,3,6,3,3
Commons Math,org.apache.commons.math3.linear,ArrayRealVector,202,1614,16,128,40,329,14,125,4,63
Commons Math,org.apache.commons.math3.filter,DefaultMeasurementModel,11,15,0,0,2,6,1,3,1,3
Commons Math,org.apache.commons.math3.filter,KalmanFilter,85,302,10,24,20,69,14,15,4,8
Commons Math,org.apache.commons.math3.filter,DefaultProcessModel,40,33,0,0,4,12,2,6,2,6
Commons Math,org.apache.commons.math3.stat.correlation,StorelessCovariance,17,162,1,15,3,27,3,16,2,9
Commons Math,org.apache.commons.math3.stat.correlation,PearsonsCorrelation,15,386,3,27,2,75,3,25,0,13
Commons Math,org.apache.commons.math3.stat.correlation,SpearmansCorrelation,13,289,5,27,3,59,6,22,1,11
Commons Math,org.apache.commons.math3.stat.correlation,Covariance,41,226,4,12,5,48,5,17,1,13
Commons Math,org.apache.commons.math3.stat.correlation,StorelessBivariateCovariance,20,89,2,2,4,18,3,4,1,4
Commons Math,org.apache.commons.math3.optimization.direct,SimplexOptimizer,10,145,1,17,3,33,2,14,1,6
Commons Math,org.apache.commons.math3.optimization.direct,BaseAbstractMultivariateSimpleBoundsOptimizer,3,42,0,0,1,4,1,3,1,3
Commons Math,org.apache.commons.math3.optimization.direct,CMAESOptimizer,258,2454,39,177,45,381,36,117,7,38
Commons Math,org.apache.commons.math3.optimization.direct,CMAESOptimizer.Sigma,0,35,0,4,0,7,0,4,0,2
Commons Math,org.apache.commons.math3.optimization.direct,NelderMeadSimplex,10,408,1,31,3,82,2,23,1,8
Commons Math,org.apache.commons.math3.optimization.direct,PowellOptimizer.LineSearch,0,55,0,0,0,10,0,2,0,2
Commons Math,org.apache.commons.math3.optimization.direct,CMAESOptimizer.FitnessFunction,43,136,7,13,9,27,5,11,1,5
Commons Math,org.apache.commons.math3.optimization.direct,CMAESOptimizer.PopulationSize,6,11,1,1,1,5,1,2,0,2
Commons Math,org.apache.commons.math3.optimization.direct,SimplexOptimizer.new Comparator() {...},0,30,0,2,0,4,0,3,0,2
Commons Math,org.apache.commons.math3.optimization.direct,PowellOptimizer,21,386,3,29,3,85,3,20,0,7
Commons Math,org.apache.commons.math3.optimization.direct,SimplexOptimizer.new MultivariateFunction() {...},0,11,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.optimization.direct,AbstractSimplex,98,379,13,41,14,75,14,27,1,13
Commons Math,org.apache.commons.math3.optimization.direct,BOBYQAOptimizer.PathIsExploredException,12,0,0,0,2,0,1,0,1,0
Commons Math,org.apache.commons.math3.optimization.direct,BOBYQAOptimizer,6893,0,624,0,1185,0,333,0,13,0
Commons Math,org.apache.commons.math3.optimization.direct,PowellOptimizer.LineSearch.new UnivariateFunction() {...},0,49,0,2,0,6,0,3,0,2
Commons Math,org.apache.commons.math3.optimization.direct,MultivariateFunctionMappingAdapter.UpperBoundMapper,0,20,0,0,0,5,0,3,0,3
Commons Math,org.apache.commons.math3.optimization.direct,MultivariateFunctionMappingAdapter.LowerBoundMapper,0,18,0,0,0,5,0,3,0,3
Commons Math,org.apache.commons.math3.optimization.direct,MultiDirectionalSimplex,7,173,0,8,2,42,1,13,1,9
Commons Math,org.apache.commons.math3.optimization.direct,MultivariateFunctionPenaltyAdapter,29,159,3,17,3,26,3,9,0,2
Commons Math,org.apache.commons.math3.optimization.direct,CMAESOptimizer.DoubleIndex,36,15,6,0,7,5,5,2,2,2
Commons Math,org.apache.commons.math3.optimization.direct,BaseAbstractMultivariateOptimizer,20,294,5,33,3,62,6,29,1,15
Commons Math,org.apache.commons.math3.optimization.direct,BaseAbstractMultivariateVectorOptimizer,95,158,11,11,18,42,13,17,7,12
Commons Math,org.apache.commons.math3.optimization.direct,MultivariateFunctionMappingAdapter.LowerUpperBoundMapper,0,27,0,0,0,6,0,3,0,3
Commons Math,org.apache.commons.math3.optimization.direct,MultivariateFunctionMappingAdapter.NoBoundsMapper,0,7,0,0,0,4,0,3,0,3
Commons Math,org.apache.commons.math3.optimization.direct,MultivariateFunctionMappingAdapter,21,164,2,16,2,26,2,11,0,4
Commons Math,org.apache.commons.math3.special,Beta,47,792,5,81,7,128,8,46,3,8
Commons Math,org.apache.commons.math3.special,Gamma.new ContinuedFraction() {...},0,27,0,0,0,3,0,3,0,3
Commons Math,org.apache.commons.math3.special,Gamma,26,993,7,83,5,158,7,50,0,12
Commons Math,org.apache.commons.math3.special,Beta.new ContinuedFraction() {...},0,87,0,2,0,8,0,4,0,3
Commons Math,org.apache.commons.math3.special,Erf,0,503,0,28,0,87,0,19,0,5
Commons Math,org.apache.commons.math3.distribution,MixtureMultivariateRealDistribution,20,237,3,19,2,43,3,14,0,6
Commons Math,org.apache.commons.math3.distribution,BetaDistribution,42,161,8,10,9,37,8,17,2,14
Commons Math,org.apache.commons.math3.distribution,GammaDistribution,4,395,1,25,2,73,2,29,1,17
Commons Math,org.apache.commons.math3.distribution,AbstractRealDistribution.new UnivariateFunction() {...},0,17,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.distribution,ZipfDistribution,2,211,0,18,1,51,1,22,1,13
Commons Math,org.apache.commons.math3.distribution,TriangularDistribution,8,402,4,36,3,58,7,27,3,11
Commons Math,org.apache.commons.math3.distribution,FDistribution,0,230,0,12,0,53,0,22,0,16
Commons Math,org.apache.commons.math3.distribution,EnumeratedDistribution,74,200,14,22,17,40,11,15,2,6
Commons Math,org.apache.commons.math3.distribution,ChiSquaredDistribution,0,66,0,0,0,19,0,14,0,14
Commons Math,org.apache.commons.math3.distribution,SaddlePointExpansion,16,368,1,15,1,41,1,11,0,4
Commons Math,org.apache.commons.math3.distribution,UniformRealDistribution,15,158,0,14,5,31,3,20,3,13
Commons Math,org.apache.commons.math3.distribution,ExponentialDistribution,5,236,0,22,2,58,2,26,2,15
Commons Math,org.apache.commons.math3.distribution,HypergeometricDistribution,5,358,1,25,2,72,2,29,1,17
Commons Math,org.apache.commons.math3.distribution,TDistribution,0,163,1,13,0,43,1,20,0,14
Commons Math,org.apache.commons.math3.distribution,AbstractMultivariateRealDistribution,7,38,1,3,2,12,1,5,0,4
Commons Math,org.apache.commons.math3.distribution,EnumeratedIntegerDistribution,0,259,0,24,0,43,0,22,0,10
Commons Math,org.apache.commons.math3.distribution,PascalDistribution,19,120,3,7,4,28,4,12,1,10
Commons Math,org.apache.commons.math3.distribution,BinomialDistribution,19,126,3,15,4,25,4,16,1,10
Commons Math,org.apache.commons.math3.distribution,CauchyDistribution,10,137,0,10,4,30,3,19,3,14
Commons Math,org.apache.commons.math3.distribution,KolmogorovSmirnovDistribution,106,377,12,36,16,59,13,18,3,4
Commons Math,org.apache.commons.math3.distribution,MixtureMultivariateNormalDistribution,5,46,0,2,2,9,1,4,1,3
Commons Math,org.apache.commons.math3.distribution,UniformIntegerDistribution,12,127,1,9,3,23,2,13,1,9
Commons Math,org.apache.commons.math3.distribution,NormalDistribution,10,212,0,12,4,41,3,24,3,18
Commons Math,org.apache.commons.math3.distribution,PoissonDistribution,19,478,4,38,8,97,7,30,3,13
Commons Math,org.apache.commons.math3.distribution,LogNormalDistribution,7,239,2,14,2,49,3,25,1,19
Commons Math,org.apache.commons.math3.distribution,AbstractIntegerDistribution,38,238,9,35,9,55,9,22,1,8
Commons Math,org.apache.commons.math3.distribution,LevyDistribution,8,104,2,6,4,22,4,13,2,11
Commons Math,org.apache.commons.math3.distribution,AbstractRealDistribution,9,281,6,38,3,64,7,25,1,9
Commons Math,org.apache.commons.math3.distribution,MultivariateNormalDistribution,60,257,6,22,10,49,6,16,1,7
Commons Math,org.apache.commons.math3.distribution,WeibullDistribution,10,241,3,17,4,56,5,23,2,16
Commons Math,org.apache.commons.math3.distribution,EnumeratedRealDistribution,0,266,0,24,0,46,0,25,0,13
Commons Math,org.apache.commons.math3.stat.clustering,EuclideanDoublePoint,6,85,1,7,2,16,2,9,1,6
Commons Math,org.apache.commons.math3.stat.clustering,EuclideanIntegerPoint,6,84,1,7,2,16,2,9,1,6
Commons Math,org.apache.commons.math3.stat.clustering,Cluster,0,23,0,0,0,8,0,4,0,4
Commons Math,org.apache.commons.math3.stat.clustering,DBSCANClusterer.PointStatus,0,24,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math3.stat.clustering,KMeansPlusPlusClusterer.EmptyClusterStrategy,0,44,0,0,0,5,0,1,0,1
Commons Math,org.apache.commons.math3.stat.clustering,KMeansPlusPlusClusterer,45,618,14,78,8,158,12,45,0,10
Commons Math,org.apache.commons.math3.stat.clustering,DBSCANClusterer,0,210,0,28,0,53,0,21,0,7
Commons Math,org.apache.commons.math3.stat.inference,TestUtils,31,194,0,0,6,38,6,35,6,35
Commons Math,org.apache.commons.math3.stat.inference,WilcoxonSignedRankTest,18,289,2,34,5,55,3,24,1,8
Commons Math,org.apache.commons.math3.stat.inference,ChiSquareTest,26,570,8,56,4,101,8,35,0,11
Commons Math,org.apache.commons.math3.stat.inference,GTest,14,549,6,50,2,87,6,33,0,11
Commons Math,org.apache.commons.math3.stat.inference,OneWayAnova.AnovaStats,0,12,0,0,0,5,0,1,0,1
Commons Math,org.apache.commons.math3.stat.inference,MannWhitneyUTest,10,177,0,10,3,31,1,11,1,6
Commons Math,org.apache.commons.math3.stat.inference,OneWayAnova,11,265,2,18,2,55,2,15,0,7
Commons Math,org.apache.commons.math3.stat.inference,TTest,23,581,1,23,5,98,2,41,1,30
Commons Math,org.apache.commons.math3.fitting,GaussianFitter.new Gaussian.Parametric() {...},1,40,0,0,1,10,0,3,0,3
Commons Math,org.apache.commons.math3.fitting,WeightedObservedPoint,0,21,0,0,0,8,0,4,0,4
Commons Math,org.apache.commons.math3.fitting,GaussianFitter.ParameterGuesser.new Comparator() {...},44,26,15,5,13,7,10,2,0,2
Commons Math,org.apache.commons.math3.fitting,HarmonicFitter.ParameterGuesser,4,464,2,28,1,93,2,18,0,5
Commons Math,org.apache.commons.math3.fitting,GaussianFitter,0,25,0,0,0,6,0,3,0,3
Commons Math,org.apache.commons.math3.fitting,CurveFitter.TheoreticalValuesFunction,0,25,0,0,0,5,0,3,0,3
Commons Math,org.apache.commons.math3.fitting,PolynomialFitter,8,11,0,0,1,3,1,2,1,2
Commons Math,org.apache.commons.math3.fitting,HarmonicFitter,0,20,0,0,0,4,0,3,0,3
Commons Math,org.apache.commons.math3.fitting,CurveFitter.TheoreticalValuesFunction.new MultivariateMatrixFunction() {...},0,42,0,2,0,7,0,3,0,2
Commons Math,org.apache.commons.math3.fitting,CurveFitter.TheoreticalValuesFunction.new MultivariateVectorFunction() {...},0,42,0,2,0,7,0,3,0,2
Commons Math,org.apache.commons.math3.fitting,GaussianFitter.ParameterGuesser,21,319,6,28,5,55,6,19,0,8
Commons Math,org.apache.commons.math3.fitting,CurveFitter,6,135,0,2,2,26,1,8,1,7
Commons Math,org.apache.commons.math3.optimization,Target,0,13,0,0,0,4,0,2,0,2
Commons Math,org.apache.commons.math3.optimization,PointValuePair,4,45,2,4,0,11,2,6,0,5
Commons Math,org.apache.commons.math3.optimization,MultivariateMultiStartOptimizer,0,6,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math3.optimization,PointValuePair.DataTransferObject,0,20,0,0,0,5,0,2,0,2
Commons Math,org.apache.commons.math3.optimization,SimpleValueChecker,6,71,1,9,3,16,2,7,1,3
Commons Math,org.apache.commons.math3.optimization,SimplePointChecker,6,85,2,10,3,21,3,7,1,3
Commons Math,org.apache.commons.math3.optimization,LeastSquaresConverter,25,175,3,15,3,35,3,10,0,4
Commons Math,org.apache.commons.math3.optimization,BaseMultivariateVectorMultiStartOptimizer,21,125,3,11,5,30,4,10,1,6
Commons Math,org.apache.commons.math3.optimization,SimpleVectorValueChecker,6,83,0,12,3,21,1,9,1,3
Commons Math,org.apache.commons.math3.optimization,DifferentiableMultivariateMultiStartOptimizer,6,0,0,0,2,0,1,0,1,0
Commons Math,org.apache.commons.math3.optimization,BaseMultivariateMultiStartOptimizer,31,105,5,9,8,25,6,8,1,6
Commons Math,org.apache.commons.math3.optimization,AbstractConvergenceChecker,9,24,0,0,4,8,1,4,1,4
Commons Math,org.apache.commons.math3.optimization,Weight,20,13,2,0,6,4,2,2,1,2
Commons Math,org.apache.commons.math3.optimization,PointVectorValuePair.DataTransferObject,0,22,0,0,0,5,0,2,0,2
Commons Math,org.apache.commons.math3.optimization,MultivariateDifferentiableVectorMultiStartOptimizer,0,6,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math3.optimization,BaseMultivariateVectorMultiStartOptimizer.new Comparator() {...},3,64,2,6,1,11,2,5,0,3
Commons Math,org.apache.commons.math3.optimization,BaseMultivariateMultiStartOptimizer.new Comparator() {...},11,32,5,3,2,7,4,2,0,2
Commons Math,org.apache.commons.math3.optimization,MultivariateDifferentiableMultiStartOptimizer,0,6,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math3.optimization,InitialGuess,0,13,0,0,0,4,0,2,0,2
Commons Math,org.apache.commons.math3.optimization,SimpleBounds,0,23,0,0,0,6,0,3,0,3
Commons Math,org.apache.commons.math3.optimization,GoalType,0,24,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math3.optimization,DifferentiableMultivariateVectorMultiStartOptimizer,6,0,0,0,2,0,1,0,1,0
Commons Math,org.apache.commons.math3.optimization,PointVectorValuePair,6,66,3,9,0,18,3,10,0,7
Commons Math,org.apache.commons.math3.stat.ranking,NaturalRanking,40,512,2,54,13,118,5,44,3,14
Commons Math,org.apache.commons.math3.stat.ranking,NaNStrategy,0,54,0,0,0,6,0,1,0,1
Commons Math,org.apache.commons.math3.stat.ranking,TiesStrategy,0,54,0,0,0,6,0,1,0,1
Commons Math,org.apache.commons.math3.stat.ranking,NaturalRanking.IntDoublePair,0,21,0,0,0,7,0,4,0,4
Commons Math,org.apache.commons.math3.stat.descriptive.summary,SumOfSquares,6,95,1,3,3,27,2,9,1,8
Commons Math,org.apache.commons.math3.stat.descriptive.summary,Product,6,130,2,6,3,34,3,12,1,10
Commons Math,org.apache.commons.math3.stat.descriptive.summary,SumOfLogs,6,92,1,3,3,27,2,9,1,8
Commons Math,org.apache.commons.math3.stat.descriptive.summary,Sum,14,122,2,6,4,33,4,11,2,9
Commons Math,org.apache.commons.math3.analysis.polynomials,PolynomialFunctionNewtonForm,37,258,3,15,7,44,5,14,2,8
Commons Math,org.apache.commons.math3.analysis.polynomials,PolynomialFunctionLagrangeForm,82,450,3,31,15,73,5,22,3,7
Commons Math,org.apache.commons.math3.analysis.polynomials,PolynomialsUtils.JacobiKey,3,38,4,4,1,8,4,3,0,3
Commons Math,org.apache.commons.math3.analysis.polynomials,PolynomialSplineFunction,69,202,10,16,10,34,7,14,1,7
Commons Math,org.apache.commons.math3.analysis.polynomials,PolynomialsUtils,0,442,0,20,0,72,0,19,0,9
Commons Math,org.apache.commons.math3.analysis.polynomials,PolynomialFunction,127,466,16,46,26,84,15,33,3,14
Commons Math,org.apache.commons.math3.analysis.polynomials,PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,22,0,0,0,3,0,2,0,2
