Class Name,Line Coverage,Branch Coverage,Mutation Score
GillFieldIntegrator,100,,100
GillFieldStepInterpolator,100,,100
GillStepInterpolator,100,,100
GLSMultipleLinearRegression,88,,67
GradientFunction,100,,100
GradientMultivariateOptimizer,100,,100
GraggBulirschStoerIntegrator,98,,78
GraggBulirschStoerStepInterpolator,92,,88
HaltonSequenceGenerator,100,,96
HarmonicCurveFitter,98,,71
HarmonicOscillator,100,,100
HermiteInterpolator,98,,93
HermiteRuleFactory,100,,100
HessenbergTransformer,99,,95
HighamHall54FieldIntegrator,100,,100
HighamHall54FieldStepInterpolator,100,,80
HighamHall54Integrator,100,,95
HighamHall54StepInterpolator,100,,99
HitHistogram,0,,0
Identity,100,,100
InferenceTestUtils,77,,75
InitialGuess,100,,100
IntegerSequence,94,,91
InterpolatingMicrosphere,78,,75
InterpolatingMicrosphere2D,70,,86
IntervalUtils,90,,86
Inverse,100,,100
IterationEvent,100,,100
IterationManager,89,,70
IterativeLegendreGaussIntegrator,97,,100
IterativeLinearSolver,63,,31
IterativeLinearSolverEvent,50,,0
JacobianFunction,100,,100
JacobianMatrices,92,,84
JacobiPreconditioner,96,,93
KalmanFilter,79,,59
KendallsCorrelation,97,,96
KMeansPlusPlusClusterer,61,,44
KohonenTrainingTask,100,,100
KohonenUpdateAction,98,,79
KthSelector,100,,100
Kurtosis,95,,90
LaguerreRuleFactory,100,,100
LaguerreSolver,75,,62
LearningFactorFunctionFactory,89,,100
LeastSquaresAdapter,100,,100
LeastSquaresBuilder,94,,93
LeastSquaresConverter,92,,100
LeastSquaresFactory,73,,78
LegendreHighPrecisionRuleFactory,100,,100
LegendreRuleFactory,100,,0
LevenbergMarquardtOptimizer,96,,92
LinearConstraint,63,,58
LinearConstraintSet,56,,100
LinearInterpolator,100,,100
LinearObjectiveFunction,87,,63
LinearOptimizer,100,,100
LineSearch,100,,100
ListPopulation,98,,78
LocalizedFormats,99,,50
LocationFinder,94,,100
LoessInterpolator,95,,87
Log,100,,100
Log10,100,,100
Log1p,100,,100
Logistic,93,,88
Logit,88,,89
