Class Name,Line Coverage,Branch Coverage,Mutation Score
FieldLUDecomposition,97,96.296295,92
FieldLUDecomposition,99,91.66667,97
FieldODEState,100,100,100
FieldODEStateAndDerivative,100,100,100
FieldRotation,100,98.45361,85
FieldStepNormalizer,0,0,0
FieldVector3D,100,100,82
FiniteDifferencesDifferentiator,100,100,84
FirstMoment,91,100,75
FirstOrderConverter,100,0,100
FixedElapsedTime,73,83.33333,78
FixedGenerationCount,82,75,75
Floor,100,0,100
FourthMoment,90,100,89
Frequency,90,82,75
FunctionUtils,96,100,96
FuzzyKMeansClusterer,81,71.42857,69
Gaussian,100,100,94
GaussianCurveFitter,95,100,79
GaussianRandomGenerator,100,0,100
GaussIntegrator,91,75,100
GaussIntegratorFactory,100,100,100
GaussNewtonOptimizer,84,94.44444,86
GeneticAlgorithm,86,66.66667,59
GeometricMean,79,75,68
GillFieldIntegrator,100,100,100
GillFieldStepInterpolator,100,75,100
GillStepInterpolator,100,87.5,100
GLSMultipleLinearRegression,88,100,67
GradientFunction,100,100,100
GradientMultivariateOptimizer,100,75,100
GraggBulirschStoerIntegrator,98,90.59829,78
GraggBulirschStoerStepInterpolator,92,74.13793,88
HaltonSequenceGenerator,100,100,96
HarmonicCurveFitter,98,100,71
HarmonicOscillator,100,100,100
HermiteInterpolator,98,96.666664,93
HermiteRuleFactory,100,100,100
HessenbergTransformer,99,94.44444,95
HighamHall54FieldIntegrator,100,100,100
HighamHall54FieldStepInterpolator,100,75,80
HighamHall54Integrator,100,100,95
HighamHall54StepInterpolator,100,87.5,99
HitHistogram,0,0,0
Identity,100,0,100
InferenceTestUtils,77,0,75
InitialGuess,100,0,100
IntegerSequence,94,0,91
InterpolatingMicrosphere,78,73.809525,75
InterpolatingMicrosphere2D,70,100,86
IntervalUtils,90,100,86
Inverse,100,0,100
IterationEvent,100,0,100
IterationManager,89,90,70
IterativeLegendreGaussIntegrator,97,87.5,100
IterativeLinearSolver,63,100,31
IterativeLinearSolverEvent,50,0,0
JacobianFunction,100,100,100
JacobianMatrices,92,73.52941,84
JacobiPreconditioner,96,87.5,93
KalmanFilter,79,73.333336,59
KendallsCorrelation,97,96.875,96
KMeansPlusPlusClusterer,61,56.81818,44
KohonenTrainingTask,100,100,100
KohonenUpdateAction,98,90,79
KthSelector,100,97.368416,100
Kurtosis,95,81.25,90
LaguerreRuleFactory,100,100,100
LaguerreSolver,75,50,62
LearningFactorFunctionFactory,89,100,100
LeastSquaresAdapter,100,0,100
LeastSquaresBuilder,94,0,93
LeastSquaresConverter,92,83.33333,100
LeastSquaresFactory,73,100,78
LegendreHighPrecisionRuleFactory,100,100,100
LegendreRuleFactory,100,100,0
LevenbergMarquardtOptimizer,96,92.07921,92
LinearConstraint,63,50,58
LinearConstraintSet,56,0,100
LinearInterpolator,100,100,100
LinearObjectiveFunction,87,50,63
LinearOptimizer,100,100,100
LineSearch,100,0,100
ListPopulation,98,94.44444,78
LocalizedFormats,99,75,50
LocationFinder,94,83.33333,100
LoessInterpolator,95,92.30769,87
Log,100,0,100
Log10,100,0,100
Log1p,100,0,100
Logistic,93,100,88
Logit,88,100,89
LUDecomposition,100,100,98
LutherFieldIntegrator,100,100,100
LutherFieldStepInterpolator,100,75,60
LutherStepInterpolator,100,87.5,96
ManhattanDistance,100,0,100
MapUtils,28,20,18
MathArrays,92,81.96721,85
MathIllegalNumberException,100,0,100
MathInternalError,0,0,0
MathParseException,50,0,0
MathRuntimeException,64,0,80
MathUtils,84,66.66667,64
MatrixDimensionMismatchException,100,0,100
MatrixUtils,81,72.97297,86
Max,100,100,100
Max,90,0,80
MaxCountExceededException,100,0,100
MaxEval,71,50,50
MaxIter,71,50,50
Mean,91,75,73
Median,67,0,67
MedianOf3PivotingStrategy,100,100,100
MicrosphereProjectionInterpolator,83,50,80
MidpointFieldIntegrator,100,0,100
MidpointFieldStepInterpolator,100,75,80
MidPointIntegrator,91,75,79
MidpointStepInterpolator,100,87.5,97
MillerUpdatingRegression,83,77.37227,73
Min,100,100,100
Min,90,0,80
Minus,100,0,100
MixtureMultivariateNormalDistribution,100,100,100
MixtureMultivariateRealDistribution,56,92.85714,61
