Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.84 T=7 s"
Maven, 0, 1, 0, 0, 0, 0, 1, 0, 20, 1, 13, 2, 197, 21, 63, 58, 
XSD, 0, 0, 0, 1, 0, 0, 0, 12, 0, 0, 0, 14, 0, 0, 0, 27, 
HTML, 0, 2, 8, 1, 0, 0, 196, 8, 0, 0, 98, 42, 78, 0, 1915, 13, 
CSS, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
Ant, 6, 1, 1, 0, 182, 0, 96, 0, 233, 0, 56, 0, 546, 4, 412, 0, 
Java, 29, 0, 137, 216, 610, 0, 4899, 5442, 1394, 0, 10365, 12802, 1325, 0, 11007, 13813, 
DTD, 0, 0, 3, 3, 0, 0, 62, 65, 0, 0, 201, 215, 0, 0, 162, 162, 
XML, 7, 4, 43, 60, 38, 0, 233, 510, 150, 0, 592, 940, 236, 15, 1078, 3276, 
