Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.84 T=5 s"
CSS, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
DTD, 0, 1, 2, 2, 0, 0, 24, 41, 44, 4, 75, 153, 42, 15, 233, 105, 
Maven, 0, 0, 0, 1, 0, 0, 0, 21, 0, 0, 0, 34, 0, 0, 0, 281, 
XML, 0, 15, 1, 39, 0, 0, 13, 249, 4, 0, 0, 738, 183, 66, 54, 1080, 
HTML, 0, 5, 1, 5, 0, 0, 12, 81, 0, 0, 0, 98, 1047, 79, 58, 867, 
Ant, 0, 1, 0, 7, 0, 0, 0, 265, 30, 0, 1, 259, 193, 6, 25, 763, 
Java, 0, 45, 5, 121, 0, 0, 364, 3113, 3309, 823, 2667, 7627, 3688, 218, 821, 8426, 
