Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.84 T=13 s"
Maven, 0, 1, 0, 10, 0, 0, 4, 31, 23, 0, 0, 144, 222, 19, 35, 519, 
XSD, 0, 0, 1, 1, 0, 0, 12, 7, 0, 0, 14, 14, 0, 0, 27, 25, 
DTD, 0, 0, 3, 3, 0, 0, 65, 63, 0, 0, 215, 212, 0, 0, 162, 172, 
XML, 6, 9, 56, 61, 28, 0, 472, 512, 302, 1, 787, 888, 696, 78, 2753, 3203, 
HTML, 1, 1, 1, 1, 27, 0, 2, 2, 28, 0, 14, 14, 81, 1, 9, 9, 
Ant, 0, 0, 7, 0, 0, 0, 250, 0, 0, 0, 233, 0, 0, 0, 550, 0, 
Java, 0, 0, 245, 301, 0, 0, 6052, 5450, 0, 0, 14196, 15093, 0, 0, 15138, 19734, 
